Fruit population,Code population,Name population,City ,lat,lon,Sampling date,,,,,,
Cherry,MTP1,Cherry50,Montpellier,43.626598,3.863535,5/14/2018,,,,,,
Cherry,AVG1,Cherry51,Avignon,43.956177,4.838228,5/23/2018,,,,,,
Cherry,SQP,Cherry52,Saint-Quentin-la-Poterie,44.053988,4.433953,5/28/2018,,,,,,
Cherry,CRT1,Cherry3,Ceret,42.503621,2.747655,6/1/2018,,,,,,
Cherry,LBL,Cherry6,Le Boulou,42.521786,2.842217,6/1/2018,,,,,,
Cherry,CRT2,Cherry7,Ceret,42.498589,2.752859,6/1/2018,,,,,,
Cherry,SCR1,Cherry47,Saint-Clement-de-Riviere,43.703934,3.855531,6/6/2018,,,,,,
Cherry,BDX,Cherry103,Bedarieux,43.602079,3.129426,6/22/2018,,,,,,
Cherry,TLB,Cherry104,Taussac-la-Billière,43.622699,3.090652,6/22/2018,,,,,,
Strawberry,BCR,Strawberry53,Beaucaire,43.784667,4.544464,6/8/2018,,,,,,
Strawberry,CND,Strawberry44,Candillargues,43.628055,4.0575,6/14/2018,,,,,,
Strawberry,AVG2,Strawberry42,Avignon,43.926049,4.840473,7/12/2018,,,,,,
Blackberry,MGO,Blackberry32,Maugio,43.609988,3.994697,8/28/2018,,,,,,
Blackberry,SCR2,Blackberry33,Saint-Clement-de-Riviere,43.693692,3.838453,8/29/2018,,,,,,
Blackberry,MTP2,Blackberry34,Montpellier,43.647906,3.880657,8/29/2018,,,,,,
Blackberry,AVG3,Blackberry31,Avignon,43.913557,5.077187,9/3/2018,,,,,,
Blackberry,CRN,Blackberry35,Corneilhan,43.40143,3.20104,9/4/2018,,,,,,
Blackberry,OVL,Blackberry36,Ouveillan,43.288458,2.958087,9/4/2018,,,,,,
Blackberry,LDA,Blackberry37,Laroque-des-Albères,42.530609,2.932136,9/6/2018,,,,,,
Blackberry,CRT3,Blackberry38,Ceret,42.503268,2.747621,9/6/2018,,,,,,
Blackberry,LSR,Blackberry39,Le Soler,42.669927,2.788251,9/6/2018,,,,,,
Blackberry,MSL,Blackberry40,Montferrier-sur-lez,43.668816,3.867852,9/8/2018,,,,,,
Blackberry,SGF,Blackberry43,Saint-Gely-du-Fesc,43.669139,3.839824,9/11/2018,,,,,,
Blackberry,UZS,Blackberry45,Uzes,43.953888,4.381957,9/12/2018,,,,,,
Blackberry,LBS,Blackberry44,La Boissiere,43.667453,3.66027,9/13/2018,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,